member,download,type,text,規格書
@KIS008C,已下載,CLP,訂單轉採購   ,
AC,已下載,CLP,預開發票明細表   ,
ARA009C1,已下載,CLP,轉帳資料批次作業   ,
ARA010C,已下載,CLP,統一發票申報作業   ,
ARA010C1,已下載,CLP,統一發票申報作業   ,
ARA011C,已下載,CLP,轉帳資料批次作業   CALLBYBACKUPPROGRAM,
ARA012C,已下載,CLP,專櫃轉帳資料批次作業   ,
ARA013C,已下載,CLP,應收帳款月檔批次處理   ,
ARA014C,已下載,CLP,沖帳批次處理   ,
ARA015C,已下載,CLP,銷退折讓批次處理   ,
ARB001C,已下載,CLP,銷退價差資料檢核   ,
ARI027C,已下載,CLP,發票未作廢重開查詢   ,
ARM000C,已下載,CLP,應收帳款系統主畫面   ,
ARM001C,已下載,CLP,應收帳款報表主畫面   ,
ARR041C,已下載,CLP,客戶對帳單   ,
ARR041C1,已下載,CLP,客戶對帳單      920819   ,
ARR042C,已下載,CLP,帳齡分析表,
ARR042CA,已下載,CLP,帳齡分析表 for addjobscde,
ARR042C1,已下載,CLP,帳齡分析表,
ARR043C,已下載,CLP,現金收入明細表,
ARR043C1,已下載,CLP,現金收入明細表,
ARR044C,已下載,CLP,票據收入明細表,
ARR044C1,已下載,CLP,票據收入明細表,
ARR045C,已下載,CLP,銷貨收入明細表,
ARR045C1,已下載,CLP,銷貨收入明細表,
ARR046C,已下載,CLP,銷貨成本明細表,
ARR046C1,已下載,CLP,銷貨成本明細表,
ARR047C,已下載,CLP,銷退折讓明細表,
ARR047C1,已下載,CLP,銷退折讓明細表,
ARR048C,已下載,CLP,應收帳款明細表,
ARR048C1,已下載,CLP,應收帳款明細表,
ARR049C,已下載,CLP,票據預計兌現明細表,
ARR049C1,已下載,CLP,票據預計兌現明細表,
ARR050C,已下載,CLP,電子統一發票重印     套表,
ARR050C1,已下載,CLP,電子統一發票重印     套表,
ARR051C,已下載,CLP,統一發票申報表       套表,
ARR051C1,已下載,CLP,統一發票申報表       套表,
ARR052C,已下載,CLP,應收帳款管理表,
ARR052C1,已下載,CLP,應收帳款管理表,
ARR053C,已下載,CLP,票據兌現明細表,
ARR053C1,已下載,CLP,票據兌現明細表,
ARR054C,已下載,CLP,轉帳／寄賣發票列印    套表,
ARR054C1,已下載,CLP,轉帳／寄賣發票列印    套表,
ARR055C,已下載,CLP,物流點存貨成本表,
ARR055CA,已下載,CLP,物流點存貨成本表  for addjobscde,
ARR055C1,已下載,CLP,物流點存貨成本表,
ARR056C,已下載,CLP,銷退折讓分配差異報表,
ARR056C1,已下載,CLP,銷退折讓分配差異報表,
ARR057C,已下載,CLP,折讓單（套表）,
ARR057C1,已下載,CLP,折讓單（套表）,
ARR058C,已下載,CLP,客戶收款未分配餘額表,
ARR058C1,已下載,CLP,客戶收款未分配餘額表,
ARR059C,已下載,CLP,預開發票明細表,
ARR059C1,已下載,CLP,預開發票明細表,
ARR060C,已下載,CLP,統一發票申報作業－試印,
ARR060C1,已下載,CLP,統一發票申報作業－試印,
ARR061C,已下載,CLP,跨月折讓明細表,
ARR061C1,已下載,CLP,跨月折讓明細表,
ARR062C,已下載,CLP,統一發票調節參考表,
ARR062C1,已下載,CLP,統一發票調節參考表,
ARR063C,已下載,CLP,應收帳款彙總表,
ARR063C1,已下載,CLP,應收帳款彙總表,
ARR064C,已下載,CLP,收款沖帳明細表,
ARR064C1,已下載,CLP,收款沖帳明細表,
ARR065C,已下載,CLP,代理商補差額報表,
ARR065C1,已下載,CLP,代理商補差額報表,
ARR066C,已下載,CLP,發票作廢排行榜,
ARR066C1,已下載,CLP,發票作廢排行榜,
ARR067C,已下載,CLP,收款分配明細表,
ARR067C1,已下載,CLP,收款分配明細表,
ARR068C,已下載,CLP,出貨統一發票核對表,
ARR068C1,已下載,CLP,出貨統一發票核對表,
ARR069C,已下載,CLP,產品銷貨成本明細表,
ARR069C1,已下載,CLP,產品銷貨成本明細表,
ARR070C,已下載,CLP,寄賣產品成本明細表,
ARR070C1,已下載,CLP,寄賣產品成本明細表,
ARR071C,已下載,CLP,折讓成本差異表,
ARR071C1,已下載,CLP,折讓成本差異表,
ARR072C,已下載,CLP,人工發票差異表,
ARR072C1,已下載,CLP,人工發票差異表,
ARR073C,已下載,CLP,遞延銷退餘額明細表,
ARR073C1,已下載,CLP,遞延銷退餘額明細表,
ARR074C,已下載,CLP,轉帳銷退折讓單明細表,
ARR074C1,已下載,CLP,轉帳銷退折讓單明細表,
ARR075C,已下載,CLP,應收帳款週轉率分析表,
ARR075C1,已下載,CLP,應收帳款週轉率分析表,
ARR076C,已下載,CLP,應收票據明細表,
ARR076C1,已下載,CLP,應收票據明細表,
ARR077C,已下載,CLP,折讓單簽收明細表,
ARR077C1,已下載,CLP,折讓單簽收明細表,
ARR078C,已下載,CLP,調整原因分析表,
ARR078C1,已下載,CLP,調整原因分析表,
ARR079C,已下載,CLP,票據兌現明細表,
ARR079C1,已下載,CLP,票據兌現明細表,
ARR080C,已下載,CLP,發票日期帳齡分析表,
ARR080C1,已下載,CLP,發票日期帳齡分析表,
ARR082C,已下載,CLP,帳齡排行榜,
ARR082C1,已下載,CLP,帳齡棑行榜,
ARR083C,已下載,CLP,收款未分配明細表,
ARR083C1,已下載,CLP,收款未分配明細表,
ARR090C,已下載,CLP,應收日期帳齡分析表,
ARR090C1,已下載,CLP,應收日期帳齡分析表,
ATM000C,已下載,CLP,ａｔｔ管理資訊系統主畫面 -user,
ATN01,已下載,CLP,ATN PGM,
ATN03C,已下載,CLP,strprtwtr,
ATN04C,已下載,CLP,wrkoutq,
ATN05C,已下載,CLP,vrycfg *dev *on for remote workstation,
BACKUP,已下載,CLP,JOB SCHEDULE ENTRY BACKUP PROGRAM,
CHKSDSOC1,已下載,CLP,檢測試飲及收回數量檔,
CHKSIADC,已下載,CLP,檢測發票及收款檔,
CHK001C,已下載,CLP,檢核月檔收款檔   ,
CHK001C1,已下載,CLP,檢核月檔收款檔   ,
CHK002C,已下載,CLP,CPYSPLF BATCH   ,
CHK002C1,已下載,CLP,CPYSPLF BY BATCH   ,
CKR3D0,已下載,CLP,收現記錄列印   ,
CKR3D2,已下載,CLP,收現記錄列印   ,
CLEAR,已下載,CLP,clear file data   ,
CLMSG,已下載,CLP,ASSET GENERATED CLP TO HANDLEMSG-CLMSG,
CLRCRTF,已下載,CLP,Create BK* file for Compiler   ,
CLR001C,已下載,CLP,進銷項系統檔案整理作業   ,
CLR001C1,已下載,CLP,進銷項系統檔案整理作業一   ,
CLR001C2,已下載,CLP,進銷項系統檔案整理作業二   ,
CLR001C3,已下載,CLP,進銷項系統檔案整理作業三   ,
CLR001C4,已下載,CLP,進銷項系統檔案整理作業四   ,
CLR001C5,已下載,CLP,進銷項系統檔案整理作業五   ,
CLR002C,已下載,CLP,Create SAVF for First time   ,
CLR002C1,已下載,CLP,(1) Save some file to *SAVF and DLTF,
CLR002C2,已下載,CLP,(2) Save some file to *SAVF and DLTF,
CLR002C3,已下載,CLP,(3) Save some file to *SAVF and DLTF,
CLR002C4,已下載,CLP,(4) Save some file to *SAVF and DLTF,
CPY007C,已下載,CLP,CPYF REFLIBTEST TO REFLIB,
DATACPY,已下載,CLP,start pc command 'COPY',
DATACVT,已下載,CLP,start pc command 'RTOPCB',
DCM001C,已下載,CLP,捷盟發票下載 Normal,
DCM001C1,已下載,CLP,Prepare Date Range in DATAAREA DCDA01,
DPA003C,已下載,CLP,錯誤統一發票重開,
DPA003C1,已下載,CLP,錯誤統一發票重開,
DPA042C1,已下載,CLP,歷史檔案整理,
DPA043C1,已下載,CLP,copy file from reflib to reflibtst,
DPB002C,已下載,CLP,採購檔年度整檔批次,
DPB002C1,已下載,CLP,採購檔年度整檔批次,
DPB002C1S,已下載,CLP,採購檔年度整檔批次,
DPC002C,已下載,CLP,採購檔年度整檔批次 clrpfm/cpyf,
DWPCMNU,已下載,CLP,管理資訊系統主畫面 -user,
DWPC01C,已下載,CLP,月產品銷售（退）統計表,
DWPC01C1,已下載,CLP,月產品銷售（退）統計表,
DWPC02C,已下載,CLP,產品可用量表－含專櫃及在途量,
DWPC02C1,已下載,CLP,產品可用量表－含專櫃及在途量,
DWPC03C,已下載,CLP,客戶簡明表,
DWPC03C1,已下載,CLP,客戶簡明表,
DWPC04C,已下載,CLP,HG,
GLR2A2,已下載,CLP,財務比率分析表－年度,
GLR2D2,已下載,CLP,管銷費用表,
GLR282,已下載,CLP,比較資產負債表－年度,
GLS001,已下載,CLP,字串連結,
HBP2DTS,已下載,CLP,BP2000 - Year shift for test purposes,
IMA009C,已下載,CLP,月結處理,
IMA009C1,已下載,CLP,月結處理,
IMM000C,已下載,CLP,庫存管理系統主畫面,
IMM001C,已下載,CLP,庫存管理報表主畫面,
IMR041C,已下載,CLP,送貨揀料彙總表,
IMR041C1,已下載,CLP,送貨揀料彙總表,
IMR042C,已下載,CLP,分車準備明細表,
IMR042C1,已下載,CLP,分車準備明細表,
IMR043C,已下載,CLP,分車送貨明細表,
IMR043C1,已下載,CLP,分車送貨明細表,
IMR044C,已下載,CLP,送貨單列印,
IMR044C1,已下載,CLP,送貨單列印,
IMR045C,已下載,CLP,電子統一發票列印,
IMR045C1,已下載,CLP,電子統一發票列印,
IMR046C,已下載,CLP,客戶送貨明細表,
IMR046C1,已下載,CLP,客戶送貨明細表,
IMR047C,已下載,CLP,產品送貨明細表,
IMR047C1,已下載,CLP,產品送貨明細表,
IMR048C,已下載,CLP,進銷存彙總表,
IMR048C1,已下載,CLP,進銷存彙總表,
IMR049C,已下載,CLP,異動明細表,
IMR049C1,已下載,CLP,異動明細表,
IMR050C,已下載,CLP,存貨週轉率報表,
IMR050C1,已下載,CLP,存貨週轉率報表,
IMR053C,已下載,CLP,專櫃產品存貨彙總表,
IMR053C1,已下載,CLP,專櫃產品存貨彙總表,
IMR054C,已下載,CLP,滯銷產品明細表,
IMR054C1,已下載,CLP,滯銷產品明細表,
IMR055C,已下載,CLP,存貨月報表,
IMR055C1,已下載,CLP,存貨月報表,
IMR056C,已下載,CLP,送貨數量差異報表,
IMR056C1,已下載,CLP,送貨數量差異報表,
