member,下載,type,text,規格書
C#EAPF,已下載,PF,等級與貨架對照檔,
C#EBLF01,已下載,LF,貨架與產品對照檔 -,
C#EBLF02,已下載,LF,貨架與產品對照檔 EB01+EB02+EB04+EB05,
C#EBLF03,已下載,LF,貨架與產品對照檔 EB01+EB02+EB04,
C#EBPF,已下載,PF,貨架與產品對照檔,
C#ECLF,已下載,LF,銷售區碼與分店對照檔,
C#ECLF01,已下載,LF,銷售區碼與分店對照檔,
C#ECLF02,已下載,LF,銷售區碼與分店對照檔,
C#ECPF,已下載,PF,銷售區碼與分店對照檔,
C#EDLF,已下載,LF,單件運費資料檔,
C#EDPF,已下載,PF,單件運費資料檔,
C#EELF,已下載,LF,分店科目對照檔,
C#EELF01,已下載,LF,分店科目對照檔,
C#EEPF,已下載,PF,分店科目對照檔,
C#EFLF,已下載,LF,通路分店代號對照檔,
C#EFLF01,已下載,LF,通路分店代號對照檔,
C#EFPF,已下載,PF,通路分店代號對照檔,
C#EGLF,已下載,LF,通路產品代號對照檔,
C#EGLF01,已下載,LF,通路產品代號對照檔 EG06,
C#EGLF02,已下載,LF,通路產品代號對照檔 EG01+EG02+EG06+EG04,
C#EGPF,已下載,PF,通路產品代號對照檔,
C#EGPFW,已下載,PF,通路產品代號對照檔,
C#EHPF,已下載,PF,庫存月結參數檔,
C#EILF,已下載,LF,最低運費資料檔,
C#EIPF,已下載,PF,最低運費資料檔,
C#EJPF,已下載,PF,運費月結參數檔,
C#EKPF,已下載,PF,傳票區間參數檔,
C#ELPF,已下載,PF,產品條碼對照檔,
C#EXPF,已下載,PF,供應商對照表,
DBAAPF,已下載,PF,家樂福商品銷貨金額統計表條件,
DBABPF,已下載,PF,家樂福商品銷貨金額統計表,
DBADPF,已下載,PF,抽成獎金表,
DBAEPF,已下載,PF,分店帳列數量及金額統計表前段,
DBAFPF,已下載,PF,分店帳列數量及金額統計表後段,
DBAGPF,已下載,PF,獎金產品銷售總表條件,
DBAHPF,已下載,PF,人員獎金總表,
DBAILF01,已下載,LF,獎金產品銷售總表,
DBAIPF,已下載,PF,獎金產品銷售總表,
DBAJLF01,已下載,LF,分店獎金產品銷售總表,
DBAJPF,已下載,PF,分店獎金產品銷售總表,
DBAKPF,已下載,PF,供應商進貨彙總表,
DBALPF,已下載,PF,供應商進貨明細表,
DBAMPF,已下載,PF,供應商進貨彙總表 ( 年度 ),
GLAHWF,已下載,PF,各子系統會計傳票暫存檔,
