member,下載,type,text,規格書
A,已下載,RPG,Area Attribute Maintain ,
ARA000,已下載,RPG,銷退折讓子目錄 ,
ARA001,已下載,RPG,發票編號資料設定 ,
ARA002,已下載,RPG,銀行帳號資料設定 ,
ARA003,已下載,RPG,稅率資料維護 ,
ARA004,已下載,RPG,發票作廢重開維護－作廢920805,
ARA0041,已下載,RPG,發票作廢重開維護－重開 ,
ARA0042,已下載,RPG,發票明細查詢 ,
ARA005,已下載,RPG,收款沖帳處理    920723 ,
ARA0051,已下載,RPG,收款沖帳處理－沖帳挑選920814,
ARA0052,已下載,RPG,收款沖帳處理－沖帳修改920810,
ARA0053,已下載,RPG,發票沖帳處理－收款查詢,
ARA006,已下載,RPG,票據兌現處理,
ARA0061,已下載,RPG,票據兌現處理－兌現挑選,
ARA0062,已下載,RPG,票據兌現處理－兌現取消,
ARA007,已下載,RPG,價差折讓處理     920810,
ARA008,已下載,RPG,銷退折讓處理    imia,
ARA0081,已下載,RPG,銷退折讓處理－發票分配   imia,
ARA0082,已下載,RPG,銷退折讓資料查詢  (WINDOW),
ARA0083,已下載,RPG,銷退折讓處理－發票分配查詢,
ARA0084,已下載,RPG,專櫃退貨確認 (SUB PGM) 扣康齡庫存,
ARA0085,已下載,RPG,專櫃退貨,
ARA009,已下載,RPG,轉帳資料批次作業 (SCREEN CHECK),
ARA0091,已下載,RPG,轉帳資料批次作業 (BATCH) upd by stephanie,
ARA010,已下載,RPG,統一發票申報作業 (SCREEN CHECK),
ARA0101,已下載,RPG,統一發票申報作業 (WRITE DATAFILE),
ARA01011,已下載,RPG,統一發票申報作業 -CHECK,
ARA0102,已下載,RPG,統一發票申報作業 (PRINT REPORTS),
ARA012,已下載,RPG,專櫃轉帳資料批次作業 (SCREEN CHECK),
ARA0121,已下載,RPG,專櫃轉帳資料批次作業 (BATCH),
ARA013,已下載,RPG,應收帳款月檔批次處理 (SCREEN CHECK),
ARA013X,已下載,RPG,反收款月檔批次處理 (BATCH),
ARA0131,已下載,RPG,應收帳款月檔批次處理 (BATCH),
ARA014,已下載,RPG,沖帳批次作業 (SCREEN CHECK),
ARA0141,已下載,RPG,沖帳批次作業 (BATCH),
ARA015,已下載,RPG,銷退折讓批次處理 (SCREEN CHECK),
ARA0151,已下載,RPG,銷退折讓批次處理 (BATCH),
ARA0152,已下載,RPG,銷退折讓批次處理,
ARA016,已下載,RPG,人工發票控制維護,
ARA0161,已下載,RPG,人工發票控制維護－新增,
ARB001,已下載,RPG,檢核銷退及價差,
ARI021,已下載,RPG,發票資料查詢－依客戶   920825,
ARI022,已下載,RPG,發票資料查詢－依產品客戶     920719,
ARI023,已下載,RPG,應收帳款查詢－帳齡分析查詢    920820,
ARI0231,已下載,RPG,應收帳款查詢－帳款明細查詢    920805,
ARI0232,已下載,RPG,應收帳款查詢－帳齡分析查詢    920820,
ARI024,已下載,RPG,銷售折讓查詢（依客戶）,
ARI0241,已下載,RPG,銷貨折讓查詢－對應發票查詢,
ARI025,已下載,RPG,銷貨折讓查詢（依產品）,
ARI026,已下載,RPG,收款沖帳查詢,
ARI0261,已下載,RPG,收款沖帳查詢－沖帳明細,
ARI027,已下載,RPG,發票未作廢重開查詢,
ARI0271,已下載,RPG,發票未作廢重開查詢,
ARI028,已下載,RPG,票據未兌現查詢,
ARI029,已下載,RPG,統一發票號碼查詢,
ARR041,已下載,RPG,客戶對帳單 (SCREEN CHECK) 920717,
ARR0411,已下載,RPG,客戶對帳單 (PRINT REPORTS)  920717,
ARR042,已下載,RPG,帳齡分析表 (SCREEN CHECK),
ARR042A,已下載,RPG,帳齡分析表 (SCREEN CHECK) for addjobscde,
ARR0421,已下載,RPG,帳齡分析表－依公司 (PRINT REPORTS),
ARR0422,已下載,RPG,帳齡分析表－依業務員 (WRITE WORK FILE),
ARR0423,已下載,RPG,帳齡分析表－依業務員 (PRINT REPORTS),
ARR043,已下載,RPG,現金收入明細表 (SCREEN CHECK),
ARR0431,已下載,RPG,現金收入明細表 (PRINT REPORTS),
ARR044,已下載,RPG,票據收入明細表 (SCREEN CHECK),
ARR0441,已下載,RPG,票據收入明細表 (PRINT REPORTS),
ARR045,已下載,RPG,銷貨收入明細表 (SCREEN CHECK),
ARR0451,已下載,RPG,銷貨收入明細表 (PRINT REPORTS),
ARR0452,已下載,RPG,銷貨收入明細表 (PRINT REPORTS),
ARR0453,已下載,RPG,銷貨收入明細表 (PRINT REPORTS),
ARR046,已下載,RPG,銷貨成本明細表 (SCREEN CHECK),
ARR0461,已下載,RPG,銷貨成本明細表 (WRITE WORKFILE),
ARR0462,已下載,RPG,銷貨成本明細表 (PRINT REPORTS),
ARR047,已下載,RPG,折讓明細表 (SCREEN CHECK),
ARR0471,已下載,RPG,銷退折讓明細表,
ARR0472,已下載,RPG,價差折讓明細表,
ARR048,已下載,RPG,應收帳款明細表 (SCREEN CHECK),
ARR0481,已下載,RPG,應收帳款明細表 (WRITE WORKFILE),
ARR0482,已下載,RPG,應收帳款明細表 (PRINT REPORTS),
ARR049,已下載,RPG,票據預計兌現明細表 (SCREEN CHECK),
ARR0491,已下載,RPG,票據預計兌現明細表 (PRINT REPORTS),
ARR050,已下載,RPG,電子統一發票重印 (SCREEN CHECK)   套表,
ARR0501,已下載,RPG,電子統一發票重印 (PRINT REPORTS)  套表,
ARR051,已下載,RPG,統一發票申報表 (SCREEN CHECK)     套表,
ARR0512,已下載,RPG,統一發票申報表 (PRINT REPORTS)    套表,
ARR052,已下載,RPG,應收帳款管理表 (SCREEN CHECK),
ARR0521,已下載,RPG,應收帳款管理表 (PRINT REPORTS),
ARR053,已下載,RPG,票據兌現明細表 (SCREEN CHECK),
ARR0531,已下載,RPG,票據兌現明細表 (PRINT REPORTS),
ARR054,已下載,RPG,轉帳／寄賣發票列印 (SCREEN CHECK)   套表,
ARR0541,已下載,RPG,轉帳／寄賣發票列印 (PRINT REPORTS)  套表,
ARR055,已下載,RPG,物流點存貨成本表 (SCREEN CHECK),
ARR055A,已下載,RPG,物流點存貨成本表 for autojobscde,
ARR0551,已下載,RPG,物流點存貨成本表 (PRINT REPORTS),
ARR056,已下載,RPG,銷退折讓分配差異報表 (SCREEN CHECK),
ARR0561,已下載,RPG,銷退折讓分配差異報表 (PRINT REPORTS),
ARR057,已下載,RPG,折讓單 (SCREEN CHECK)-- 套表,
ARR0571,已下載,RPG,折讓單 (PRINT REPORTS) 套表  920804,
ARR0572,已下載,RPG,折讓單 (PRINT REPORTS) 套表－價差,
ARR058,已下載,RPG,客戶收款未分配餘額表 (SCREEN CHECK),
ARR0581,已下載,RPG,客戶收款未分配餘額表,
