member,下載,type,text,規格書
ATN01,已下載,CLP,  ,
ATTNPGM,已下載,CLP,  ,
CLROUTQ,已下載,CLP,CLEAR OUTQ AUTOSTART JOB IN QBATCH SUBSYSTEM ,
CLROUTQX,已下載,CLP,CLEAR OUTQ AUTOSTART JOB IN QBATCH SUBSYSTEM ,
DYBKUP,已下載,CLP,DAILY BACKUP   ----> PTB801 ,
DYBKUPX,已下載,CLP,DAILY BACKUP AND ENDSBS QINTER ---> PTB801(V),
DYBKUPX1,已下載,CLP,DAILY BACKUP AND ENDSBS QINTER ---> PTB801X(V),
FIA02C,已下載,CLP,系統狀況 ,
HELLO,已下載,CLP, ,
INIT86,已下載,CLP,INITIAL PROGRAM FOR A1086,
JLOG,已下載,CLP, ,
PTB801,已下載,CLP,DAILY BACKUP CL COMMANDS - NEW,
PTB802,已下載,CLP,WEEKLY BACKUP CL COMMANDS FOR USER LIB,
PTB804,已下載,CLP,CHG NEXT IPL DATE-TIME (ADOPT QSECOFR),
PTB805,已下載,CLP,DLT ALL PGM Q* IN LIB QRPLOBJ (ADOPT QSECOFR),
PTB8051,已下載,CLP,DLT ALL PGM Q* IN LIB QRPLOBJ (ADOPT QSECOFR),
PTB850,已下載,CLP,CRT ALL PF-SRC FOR LIB XXYYZZZ ,
PTB851,已下載,CLP,CRT TEMP DB/PGM FILES ACCORDING INPUTPARMS,
PTB851$,已下載,CLP,SEND PARAMETER FORMAT FOR PGM PTB851 ,
PTB851A,已下載,CLP,CRT TEMP DB/PGM FILES ACCORDING INPUTPARMS,
PTB851CMD,已下載,CMD,CMD SOURCE FOR PTB851 ,
PTB851MRC,已下載,CLP,CRT TEMP DB/PGM FILES ACCORDING INPUTPARMS,
PTB852,已下載,CLP,CRT XXPGMR/USR FOR A CUSTOMER XX ,
PTB853,已下載,CLP,"CRT USRPRF FOR R&D DIV. (ID, NAME) ",
PTB855,已下載,CLP,CALCULATE TOTAL SIZE FOR SELECTED OBJECTS,
PTB858,已下載,CLP,COPY MESSAGE FROM PARM(MSGF LIB MSGID),
PTB858$,已下載,CLP,SEND PARAMETER FORMAT FOR PGM PTB858,
PTB859,已下載,CLP,CHANGE OWNER FOR SELECTED OBJECTS,
PTB860,已下載,CMD38,TRANSLATE MAP TO PRTF (CMD),
PTB860A,已下載,CLP,TRANSLATE MAP TO PRTF (CMD),
PTB860B,已下載,CLP,TRANSLATE MAP TO PRTF (CMD),
PTB860C,已下載,RPG38,TRANSLATE MAP TO PRTF (CMD),
PTB860F,已下載,PF, ,
PTB900,已下載,CLP,CRTPGM WITH GENOPT(*OPTIMIZE),
PTB901,已下載,CLP,CLR CONCURRENT CONTROL FILE PTC@PF,
PXCLP,已下載,CLP,PRINT SOURCE MEMBER CL PROGRAM,
PXSAMPLE,已下載,CLP,Scan a variable - CPP for SCNVAR,
PYR220C#,已下載,CLP,年度薪資扣繳總表清冊列印,
PYR221C#,已下載,CLP,年度薪資扣繳總表清冊列印,
P30C,已下載,CLP,轉換格式一律為 *YMD,
P50,已下載,CLP,RECEIVE PROGRAM MSESSAGE ,
P52,已下載,CLP,擷取 MSGTXT FOR ASSETA1092,
P61,已下載,CLP,INPUT REPORT OUTPUT QUEUE & COPY TO *LDA ,
P62,已下載,CLP,COMPUTE THE DATE AFTER/BEFORE SOME DAYS ,
P63,已下載,CLP,PUT USER-ID & DATE TO *LDA ,
