member,下載,type,text,規格書
CEP001D,已下載,DSPF,單件運費資料維護                            A1491,
CEP002D,已下載,DSPF,最低運費資料維護                            A1491,
CEP003D,已下載,DSPF,銷售區碼與分店對照維護                      A1491,
CEP004D,已下載,DSPF,等級與貨架對照維護                          A1491,
CEP005D,已下載,DSPF,貨架與產品對照維護                          A1491,
CEP006D,已下載,DSPF,通路分店對照維護                            A1491,
CEP007D,已下載,DSPF,通路產品對照維護                            A1491,
CEP007D2,已下載,DSPF,通路產品對照維護                            A1491,
CEP008D,已下載,DSPF,分店產品資料維護,
INM000D,已下載,DSPF,西祺庫存管理系統主畫面                      A1492,
INR010D,已下載,DSPF,帳列產品庫存金額表－依分店,
INR010P,已下載,PRTF,帳列產品庫存金額總表－依分店,
INR010P1,已下載,PRTF,帳列產品庫存金額明細表－依分店,
INR010P2,已下載,PRTF,帳列產品庫存金額總表－依分店,
INR020D,已下載,DSPF,帳列產品庫存金額表－依產品,
INR020P,已下載,PRTF,帳列產品庫存金額表－依產品,
INR030D,已下載,DSPF,現場產品庫存表－依分店,
INR030P,已下載,PRTF,現場產品庫存表－依分店,
INR040D,已下載,DSPF,現場產品庫存表－依產品,
INR040P,已下載,PRTF,現場產品庫存表－依產品,
INR045D,已下載,DSPF,現場產品庫存總表－依產品,
INR045P,已下載,PRTF,現場產品庫存總表－依產品,
INR046D,已下載,DSPF,現場產品庫存表－依分店,
INR046P,已下載,PRTF,現場產品庫存表－依分店,
INR050D,已下載,DSPF,月加權成本計算表,
INR050P,已下載,PRTF,月加權成本計算表,
INR060D,已下載,DSPF,陳列品轉進貨表,
INR060P,已下載,PRTF,陳列品轉進貨表,
INR070D,已下載,DSPF,陳列品退出表,
INR070P,已下載,PRTF,陳列品退出表,
INR080D,已下載,DSPF,陳列品餘額彙總表－依供應商,
INR080P,已下載,PRTF,陳列品餘額彙總表－依供應商,
INR082D,已下載,DSPF,陳列品使用明細表,
INR082P,已下載,PRTF,陳列品使用明細表,
INR090D,已下載,DSPF,銷售成本表 ( 畫面 ),
INR090P,已下載,PRTF,銷貨成本表 ( 總表 ),
INR090P1,已下載,PRTF,銷貨成本表 ( 明細表 ),
INR100D,已下載,DSPF,產品異動報表,
INR100P,已下載,PRTF,產品異動報表,
INR110D,已下載,DSPF,存貨調整明細表,
INR120D,已下載,DSPF,盤盈銷售明細表,
INR130D,已下載,DSPF,陳列單驗收明細表,
INR140D,已下載,DSPF,陳列借貨明細表,
INT001D,已下載,DSPF,存貨調撥處理                                A1546,
INT002D,已下載,DSPF,進貨退出處理                                A1546,
INT003D,已下載,DSPF,陳列轉進貨處理維護                          A1546,
INT004D,已下載,DSPF,存貨調整處理                                A1546,
INT005D,已下載,DSPF,產品成本調整處理                            A1546,
INT006D,已下載,DSPF,庫存月結處理                                A1546,
INT006P1,已下載,PRTF,庫存月結處理－未入庫單據表                  A1546,
INT006P2,已下載,PRTF,庫存月結處理－產品負庫存及金額異常表       A1546,
INT007D,已下載,DSPF,單據即時入庫處理                            A1546,
INT007P,已下載,PRTF,日結單據入庫處理報表列印                    A1546,
INT008D,已下載,DSPF,陳列品退出處理                              A1546,
INT010D,已下載,DSPF,庫存月結還原處理                            A1491,
INT011D,已下載,DSPF,未完成調撥單查詢                            A1546,
INT012D,已下載,DSPF,現場產品存貨查詢                            A1546,
INT0121D,已下載,DSPF,現場產品存貨查詢－通路／分店數量            A1546,
INT013D,已下載,DSPF,現場分店存貨查詢                            A1546,
INT0131D,已下載,DSPF,現場分店存貨查詢－依分店                    A1546,
INT014D,已下載,DSPF,現場產品異動查詢                            A1546,
INT015D,已下載,DSPF,陳列轉進貨單查詢                            A1546,
INT016D,已下載,DSPF,陳列品退出單查詢                            A1546,
INT017D,已下載,DSPF,調撥單歷史查詢                              A1492,
INT020D,已下載,DSPF,庫存日結還原處理                            A1491,
MAM000D,已下載,DSPF,西祺主檔資料維護主畫面                      A1546,
MAN001D,已下載,DSPF,貨運站基本資料維護                          A1491,
MAN002D,已下載,DSPF,供應商基本資料維護                          A1491,
MAN003D,已下載,DSPF,產品基本資料維護                            A1491,
MAN004D,已下載,DSPF,通路基本資料維護                            A1491,
MAN005D,已下載,DSPF,通路分店資料維護                            A1491,
MAN006D,已下載,DSPF,前台人員資料維護                            A1491,
MAN007D,已下載,DSPF,銷售區碼資料維護                            A1546,
MAN008D,已下載,DSPF,分店產品資料維護,
MAN009D,已下載,DSPF,產品分店資料維護,
MAN009DB,已下載,DSPF,產品分店資料維護,
MAN010D,已下載,DSPF,缺貨資料維護,
MAN011D,已下載,DSPF,分店銷售天數資料維護                        A1491,
MAN011E,已下載,DSPF,分店銷售天數資料維護                        A1491,
MAN011F,已下載,DSPF,分店銷售天數資料維護                        A1491,
