member,下載,type,text,規格書
BCM001,已下載,RPG,檢核訂貨單預計到分店日                      A1546,
BCM001X,已下載,RPG,檢核訂貨單預計到分店日                      A1546,
BCM002,已下載,RPG,檢核訂貨單有效產品                          A1491,
BCM003,已下載,RPG,檢核訂貨單有效產品 ( 不檢核有效日 )         A1491,
CEP001,已下載,RPG,單件運費資料維護                            A1491,
CEP002,已下載,RPG,最低運費資料維護                            A1491,
CEP003,已下載,RPG,銷售區碼與分店對照維護                      A1491,
CEP004,已下載,RPG,等級與貨架對照維護－西祺                    A1491,
CEP005,已下載,RPG,貨架與產品對照維護－西祺                    A1491,
CEP006,已下載,RPG,通路分店對照維護                            A1491,
CEP007,已下載,RPG,通路產品對照維護                            A1491,
CEP008,已下載,RPG,分店與科目對照維護                          A1491,
CHKITEM,已下載,RPG,UPDATE  產品主檔至總庫 & 分庫檔,
CVRPF3,已下載,RPG,轉檔 - 分庫期初量 -> 總庫期初量 ( 庫存 ),
DBR001,已下載,RPG,家樂福商品銷貨金額統計表 DBQT,
DBR002,已下載,RPG,抽成獎金表 DBQT,
DBR003,已下載,RPG,分店帳列數量及金額統計表 DBQT,
DBR004,已下載,RPG,獎金產品銷售總表 DBQT,
DBR0050,已下載,RPG,供應商進貨彙總表 DBQT - 進貨,
DBR0051,已下載,RPG,供應商進貨彙總表 DBQT - 進貨退出,
DBR0052,已下載,RPG,供應商進貨彙總表 DBQT - 陳列轉進貨,
DBR0053,已下載,RPG,供應商進貨彙總表 DBQT - 計算淨額,
DBR0060,已下載,RPG,供應商進貨明細表 DBQT - 進貨,
DBR0061,已下載,RPG,供應商進貨明細表 DBQT - 進貨退出,
DBR0062,已下載,RPG,供應商進貨明細表 DBQT - 陳列轉進貨,
DBR0063,已下載,RPG,供應商進貨明細表 DBQT - 計算編號,
DBR0064,已下載,RPG,供應商進貨彙總表 DBQT - 年度,
GET001,已下載,RPG,主要單號採番                                A1491,
GET002,已下載,RPG,產品報價單號採番                            A1491,
GET003,已下載,RPG,採購批次流水號採番                          A1491,
GET004,已下載,RPG,取得訂貨單預計到分店日                      A1491,
GET005,已下載,RPG,取得單件運費                                A1491,
GET006,已下載,RPG,取得最低運費                                A1491,
GLS002,已下載,RPG,傳票號碼採番,
GLS005,已下載,RPG,會計期間計算,
GLS905,已下載,RPG,檢核供應商,
GLS922,已下載,RPG,檢核供應商,
INR010,已下載,RPG,帳列產品庫存金額表－依分店 (SCREEN CHECK),
INR0101,已下載,RPG,帳列產品庫存金額總表－依分店 (PRINT REPORTS 1),
INR0102,已下載,RPG,帳列產品庫存金額明細表－依分店 (PRINT REPORTS 2),
INR0103,已下載,RPG,帳列產品庫存金額表－依分店 (WRITE WORKFILE),
INR0104,已下載,RPG,帳列產品庫存金額總表－依分店 (PRINT REPORTS 3),
INR020,已下載,RPG,帳列產品庫存金額表－依產品 (SCREEN CHECK),
INR0201,已下載,RPG,帳列產品庫存金額表－依產品 (PRINT REPORTS 2),
INR0202,已下載,RPG,帳列產品庫存金額表－依產品 (WRITE WORKFILE),
INR030,已下載,RPG,現場產品庫存表－依分店 (SCREEN CHECK),
INR0301,已下載,RPG,現場產品庫存表－依分店 (PRINT REPORTS 2),
INR0302,已下載,RPG,現場產品庫存表－依分店 (WRITE WORKFILE),
INR040,已下載,RPG,現場產品庫存表－依產品 (SCREEN CHECK),
INR0401,已下載,RPG,現場產品庫存表－依產品 (PRINT REPORTS 2),
INR0402,已下載,RPG,現場產品庫存表－依產品 (WRITE WORKFILE),
INR045,已下載,RPG,現場產品庫存總表－依產品 (SCREEN CHECK),
INR0451,已下載,RPG,現場產品庫存總表－依產品 (PRINT REPORTS 2),
INR0452,已下載,RPG,現場產品庫存總表－依產品 (WRITE WORKFILE),
INR046,已下載,RPG,現場產品庫存表－依分店 (SCREEN CHECK),
INR0461,已下載,RPG,現場產品庫存表－依分店 (PRINT REPORTS 2),
INR0462,已下載,RPG,現場產品庫存表－依分店 (WRITE WORKFILE),
INR050,已下載,RPG,月加權成本計算表 (SCREEN CHECK),
INR0501,已下載,RPG,月加權成本計算表 (PRINT REPORTS ),
INR0502,已下載,RPG,月加權成本計算表 (WRITE WORKFILE),
INR060,已下載,RPG,陳列品轉進貨表 (SCREEN CHECK),
INR0601,已下載,RPG,陳列品轉進貨表 (WRITE WORKFILE),
INR0602,已下載,RPG,陳列品轉進貨表 (PRINT REPORTS),
INR070,已下載,RPG,陳列品退出表 (SCREEN CHECK),
INR0701,已下載,RPG,陳列品退出表 (WRITE WORKFILE),
INR0702,已下載,RPG,陳列品退出表 (PRINT REPORTS),
INR080,已下載,RPG,陳列品餘額彙總表－依供應商 (Screen Check),
INR0801,已下載,RPG,陳列品餘額彙總表－依供應商 ( 寫入工作檔 ),
INR0802A,已下載,RPG,"陳列品餘額彙總表－依供應商 : 借貸 , 調整 , 盤點",
INR0802B,已下載,RPG,陳列品餘額彙總表－依供應商 : 轉進貨,
INR0802C,已下載,RPG,陳列品餘額彙總表－依供應商 : 退出量,
INR0802D,已下載,RPG,陳列品餘額彙總表－依供應商 : 計算剩餘量,
INR0803,已下載,RPG,陳列品餘額彙總表－依供應商 ( 加總 ),
INR0804,已下載,RPG,陳列品餘額彙總表－依供應商 ( 產生報表 ),
INR082,已下載,RPG,陳列品使用明細表 (SCREEN CHECK),
INR0821,已下載,RPG,陳列品使用明細表 (PRINT REPORT ),
INR0822,已下載,RPG,陳列品使用明細表 (WRITE WORKFILE),
INR090,已下載,RPG,銷貨成本表 ( 畫面 )                         A1491,
INR0901,已下載,RPG,銷貨成本表 ( 撰寫工作檔 ) - 明細檔          A1491,
INR0902,已下載,RPG,銷貨成本表 ( 總表 - 分店 )                  A1491,
INR0903,已下載,RPG,銷貨成本表 ( 總表 - 產品 )                  A1491,
INR0904,已下載,RPG,銷貨成本表 ( 明細表 - 產品 )                A1491,
INR100,已下載,RPG,產品異動報表 (SCREEN CHECK),
INR1001,已下載,RPG,產品異動報表 (WRITE WORKFILE),
INR1002,已下載,RPG,產品異動報表 (PRINT REPORTS),
INR1003,已下載,RPG,產品異動報表 ( 計算期初存量 ),
INR110,已下載,RPG,存貨調整明細表 (SCREEN CHECK),
INR1101,已下載,RPG,存貨調整明細表 (PRINT REPORTS),
INR120,已下載,RPG,盤盈銷售明細表 (SCREEN CHECK),
INR1201,已下載,RPG,盤盈銷售明細表 (PRINT REPORTS),
INR130,已下載,RPG,陳列單驗收明細表 (CREEN CHECK),
INR1301,已下載,RPG,陳列單驗收明細表 (PRINT REPORTS),
INR140,已下載,RPG,陳列借貨明細表 (Screen Check),
INR1401,已下載,RPG,陳列借貨明細表 (PRINT REPORTS),
INT001,已下載,RPG,存貨調撥處理                                A1546,
INT001N,已下載,RPG,存貨調撥處理                                A1546,
INT002,已下載,RPG,進貨退出處理                                A1546,
INT003,已下載,RPG,陳列轉進貨處理                              A1546,
INT004,已下載,RPG,存貨調整處理                                A1546,
INT005,已下載,RPG,產品成本調整處理                            A1546,
INT006,已下載,RPG,庫存月結批次處理 SCREEN CHECK               A1546,
INT0061,已下載,RPG,庫存月結批次處理  主程式                    A1546,
INT0061B1,已下載,RPG980401,庫存月結批次處理  主程式                    A1546,
INT0061TB,已下載,RPG,庫存月結批次處理 FOR 測試計算單位成本       A1546,
INT0061T1,已下載,RPG,特定產品代號試算單位成本,
INT007,已下載,RPG,庫存單據入庫批次處理 SCREEN CHECK           A1546,
INT0071,已下載,RPG,庫存單據入庫批次處理  主程式                A1546,
INT0071N1,已下載,RPG,庫存單據入庫批次處理  主程式                A1546,
INT008,已下載,RPG,陳列品退出處理                              A1546,
INT009,已下載,RPG,備份當日未處理之訂貨單到備份檔中            A1491,
INT010,已下載,RPG,庫存月結還原批次 SCREEN CHECK               A1491,
INT0101,已下載,RPG,庫存月結還原批次  主程式                    A1491,
INT011,已下載,RPG,未完成調撥單查詢                            A1546,
INT012,已下載,RPG,現場產品存貨查詢                            A1546,
